date,WY,WYD,P,CUM_P,Q_P300,Q_P301,ET,S,R,UPPER_R,LOWER_R
12/19/2003,2004,80,0,181.6819491,,0.212516129,0.849336823,1594.784071,0,3.071198512,1.002642952
12/20/2003,2004,81,0,181.6819491,,0.363193548,0.453376078,1593.967502,0,6.076929432,1.947776772
12/21/2003,2004,82,4.719011665,186.4009608,,0.380612903,0.588955468,1597.716945,0,3.204471209,4.238079989
12/22/2003,2004,83,0,186.4009608,,0.254322581,0.842148314,1596.620474,0,1.38246068,0.43912478
12/23/2003,2004,84,12.58403111,198.9849919,,0.306580645,0.187086557,1608.710838,0,5.625728183,10.34861255
12/24/2003,2004,85,63.70665748,262.6916494,,2.099032258,0.144787323,1670.173676,0,6.843999871,65.46081816
12/25/2003,2004,86,28.31406999,291.0057193,,2.385580645,0.058111028,1696.044054,0,0,12.40097695
12/26/2003,2004,87,20.44905055,311.4547699,,0.765580645,0.068206664,1715.659318,0,0,16.80886469
12/27/2003,2004,88,0,311.4547699,,0.533032258,0.08972081,1715.036564,0,0,3.918110512
12/28/2003,2004,89,0,311.4547699,,0.443322581,0.09225696,1714.500985,0,0,1.198127051
12/29/2003,2004,90,11.01102722,322.4657971,,0.41283871,0.047336741,1725.051837,0,0,0
12/30/2003,2004,91,18.87604666,341.3418438,,0.417193548,0.127609897,1743.38308,0,0,0
12/31/2003,2004,92,0,341.3418438,,0.38583871,0.202183409,1742.795058,0,0,0
1/1/2004,2004,93,23.59505832,364.9369021,,0.338806452,0.01573458,1766.035575,0,0,0
1/2/2004,2004,94,30.67357582,395.6104779,,0.380612903,0.108140087,1796.220398,20.19357582,24.02467802,27.36562952
1/3/2004,2004,95,0,395.6104779,,0.337935484,0.089729869,1795.792733,22.75,14.39275028,7.11246638
1/4/2004,2004,96,18.87604666,414.4865246,,0.33183871,0.141156716,1814.195784,29.64604666,25.63691398,22.15440988
1/5/2004,2004,97,0,414.4865246,,0.357967742,0.331801544,1813.506014,12.57,7.84743228,3.75331338
1/6/2004,2004,98,8.651521386,423.138046,,0.350129032,0.528085013,1821.279322,19.43152139,15.34419331,11.80767871
1/7/2004,2004,99,0,423.138046,,0.362322581,0.59411866,1820.322881,4.79,2.96292204,1.38406434
1/8/2004,2004,100,6.292015553,429.4300615,,0.389322581,0.773900084,1825.451673,17.36201555,13.11401279,9.447779093
1/9/2004,2004,101,0,429.4300615,,0.384096774,0.88023487,1824.187342,7.907112762,6.79165152,3.09721392
1/10/2004,2004,102,0,429.4300615,,0.379741935,0.803743801,1823.003856,0,3.650914,1.647019
1/11/2004,2004,103,0,429.4300615,,0.376258065,0.791402042,1821.836196,0,4.37515444,1.95590974
1/12/2004,2004,104,0,429.4300615,,0.378,0.774900771,1820.683295,0,4.17270204,1.84834434
1/13/2004,2004,105,0,429.4300615,,0.37016129,0.769270799,1819.543863,0,1.26497184,0.55710264
1/14/2004,2004,106,0,429.4300615,,0.372774194,0.734468388,1818.436621,0,1.8129568,0.7949728
1/15/2004,2004,107,0,429.4300615,,0.369290323,0.764876758,1817.302453,0,0.162453642,0.78853266
1/16/2004,2004,108,0,429.4300615,,0.359709677,0.814747811,1816.127996,0,0,0.78410746
1/17/2004,2004,109,0,429.4300615,,0.355354839,0.757455897,1815.015185,0,0,0.31319984
1/18/2004,2004,110,0,429.4300615,,0.352741935,0.862446853,1813.799996,0,0,1.78316736
1/19/2004,2004,111,0,429.4300615,,0.349258065,0.729177486,1812.721561,0,0,0.84641964
1/20/2004,2004,112,0,429.4300615,,0.345774194,0.656008638,1811.719778,0,0,0
1/21/2004,2004,113,0,429.4300615,,0.334451613,0.741885284,1810.643441,0,0,0
1/22/2004,2004,114,0,429.4300615,,0.330967742,0.793353283,1809.51912,0,0,0
1/23/2004,2004,115,0,429.4300615,,0.330096774,0.838471763,1808.350552,0,0,0
1/24/2004,2004,116,0,429.4300615,,0.328354839,0.804728217,1807.217469,0,0,0
1/25/2004,2004,117,0,429.4300615,,0.320516129,0.462865526,1806.434087,0,0,0
1/26/2004,2004,118,0,429.4300615,,0.317032258,0.495809428,1805.621245,0,0,0
1/27/2004,2004,119,0,429.4300615,,0.324870968,0.397820899,1804.898553,0,0,0.53387404
1/28/2004,2004,120,0,429.4300615,,0.319645161,0.477967961,1804.10094,0,0,0.22897914
1/29/2004,2004,121,0,429.4300615,,0.320516129,0.910239756,1802.870184,0,0,0.15243076
1/30/2004,2004,122,0,429.4300615,,0.327483871,0.798675963,1801.744025,0,0,1.66113784
1/31/2004,2004,123,0,429.4300615,,0.327483871,0.41897951,1800.997561,0,0,0
2/1/2004,2004,124,0,429.4300615,,0.319645161,0.595885404,1800.082031,0,0,0.45037476
2/2/2004,2004,125,37.75209332,467.1821548,,0.327483871,0.115400966,1837.391239,0,0,16.54847966
2/3/2004,2004,126,7.865019442,475.0471743,,0.33183871,0.091386162,1844.833034,0,0,0.628251082
2/4/2004,2004,127,0,475.0471743,,0.31616129,0.108925666,1844.407947,15.56,9.70052304,4.62329784
2/5/2004,2004,128,0,475.0471743,,0.336193548,0.118198244,1843.953555,10.85293744,9.0801224,4.2486104
2/6/2004,2004,129,0,475.0471743,,0.365806452,0.485923465,1843.101825,0,2.95112124,1.36421754
2/7/2004,2004,130,0,475.0471743,,0.373645161,0.477858453,1842.250321,0,1.28577988,0.59209798
2/8/2004,2004,131,0,475.0471743,,0.341419355,0.881786634,1841.027115,0,2.02688376,0.92934996
2/9/2004,2004,132,0,475.0471743,,0.34316129,0.923069336,1839.760885,0,4.7667196,2.1711466
2/10/2004,2004,133,0,475.0471743,,0.338806452,1.034480555,1838.387598,0,3.10882808,1.40404268
2/11/2004,2004,134,0,475.0471743,,0.340548387,1.12056549,1836.926484,0,2.91298096,1.30758616
2/12/2004,2004,135,0,475.0471743,,0.337935484,1.117563766,1835.470985,0,2.00657996,0.89520266
2/13/2004,2004,136,0,475.0471743,,0.333580645,0.513195951,1834.624208,0,0,0
2/14/2004,2004,137,0,475.0471743,,0.330967742,1.038885759,1833.254354,0,5.26342852,2.33029342
2/15/2004,2004,138,0,475.0471743,,0.336193548,0.831452757,1832.086708,0,2.89506392,1.26993932
2/16/2004,2004,139,11.01102722,486.0582015,,0.578322581,0.330160647,1842.189252,0,16.41474146,13.35936026
2/17/2004,2004,140,0,486.0582015,,0.597483871,0.15281299,1841.438955,0,4.67308032,2.00614872
2/18/2004,2004,141,28.31406999,514.3722715,,0.588774194,0.034282138,1869.129969,0,4.436658585,18.72977171
2/19/2004,2004,142,0,514.3722715,,0.573096774,0.25976255,1868.29711,0,0,0
2/20/2004,2004,143,0,514.3722715,,0.534774194,0.274797805,1867.487538,0,0,0
2/21/2004,2004,144,4.719011665,519.0912831,,0.490354839,0.176584749,1871.53961,0,0,4.964887225
2/22/2004,2004,145,9.43802333,528.5293065,,0.479032258,0.061542545,1880.437058,0,0,1.81473165
2/23/2004,2004,146,0,528.5293065,,0.464225806,0.08302793,1879.889805,0,0,0
2/24/2004,2004,147,0,528.5293065,,0.455516129,0.102316264,1879.331972,0,3.50678224,1.62251104
2/25/2004,2004,148,67.6391672,596.1684737,,1.209774194,0.017250971,1945.744114,0,2.689137246,49.38952408
2/26/2004,2004,149,35.39258749,631.5610612,,1.51983871,0.057591722,1979.559271,0,0,2.945960367
2/27/2004,2004,150,12.58403111,644.1450923,,0.989419355,0.102096554,1991.051786,0,1.712949828,10.08170843
2/28/2004,2004,151,0,644.1450923,,0.822193548,0.087264807,1990.142328,0,0,0
2/29/2004,2004,152,0,644.1450923,,0.812612903,0.098585308,1989.23113,0,0,0
3/1/2004,2004,153,7.865019442,652.0101117,,0.796064516,0.075584257,1996.224501,0,0,0
3/2/2004,2004,154,20.44905055,672.4591623,,0.76383871,0.152736423,2015.756976,49.77905055,39.97283931,31.24701801
3/3/2004,2004,155,0,672.4591623,,0.789967742,0.576657712,2014.39035,15.87,10.45805084,5.66439914
3/4/2004,2004,156,0,672.4591623,,0.779516129,0.587803601,2013.023031,12.87,8.42710396,4.50280666
3/5/2004,2004,157,0,672.4591623,,0.737709677,0.65480238,2011.630519,17.06,11.09561044,5.84253574
3/6/2004,2004,158,0,672.4591623,,0.754258065,1.566851552,2009.309409,18.55,11.96794816,6.19011736
3/7/2004,2004,159,0,672.4591623,,0.857032258,1.750937296,2006.70144,25.14,16.05769296,8.11683816
3/8/2004,2004,160,0,672.4591623,,1.015548387,1.803467535,2003.882424,18.86,11.92421,5.883635
3/9/2004,2004,161,0,672.4591623,,1.174935484,1.847108921,2000.860379,21.25,13.31024328,6.41893188
3/10/2004,2004,162,0,672.4591623,,1.358709677,1.884261191,1997.617408,16.16,10.03326216,4.73208636
3/11/2004,2004,163,0,672.4591623,,1.421419355,1.907808064,1994.288181,11.08,6.83454316,3.16934986
3/12/2004,2004,164,0,672.4591623,,1.456258065,1.761278042,1991.070645,11.97,7.34333692,3.35633482
3/13/2004,2004,165,0,672.4591623,,1.515483871,1.927073921,1987.628087,13.47,8.21302032,3.69193872
3/14/2004,2004,166,0,672.4591623,,1.637419355,1.82587664,1984.164791,14.66,8.87825284,3.91661614
3/15/2004,2004,167,0,672.4591623,,1.916129032,1.677346188,1980.571316,17.66,10.61085772,4.57645162
3/16/2004,2004,168,0,672.4591623,,2.069419355,1.950462323,1976.551434,18.26,10.87490228,4.56970838
3/17/2004,2004,169,0,672.4591623,,2.214,1.985105884,1972.352328,18.95,11.18214775,4.567998492
3/18/2004,2004,170,0,672.4591623,,2.337677419,2.050446956,1967.964204,24.24,14.15006323,5.584779072
3/19/2004,2004,171,0,672.4591623,,2.299354839,2.10445402,1963.560395,14.81,8.560362528,3.269277888
3/20/2004,2004,172,0,672.4591623,,2.374258065,2.212205551,1958.973931,26.82,15.33784643,5.643896272
3/21/2004,2004,173,0,672.4591623,,2.396032258,2.179573602,1954.398326,23.26,13.13068855,4.606712558
3/22/2004,2004,174,0,672.4591623,,2.402129032,1.779608809,1950.216588,15.35,8.578339276,2.893775146
3/23/2004,2004,175,0,672.4591623,,2.307193548,1.454163358,1946.455231,19.07,10.5606282,3.432551966
3/24/2004,2004,176,0,672.4591623,,2.219225806,1.072655272,1943.16335,8.375019442,6.738431492,2.113584782
3/25/2004,2004,177,7.865019442,680.3241817,,2.036322581,0.961920914,1948.030126,0,1.407537226,5.840744806
3/26/2004,2004,178,7.865019442,688.1892011,,2.131258065,0.828057397,1952.93583,15.88501944,12.27325243,9.252929474
3/27/2004,2004,179,0,688.1892011,,1.860387097,1.233304202,1949.842138,12.51,6.83841164,2.10140594
3/28/2004,2004,180,0,688.1892011,,1.819451613,2.069178217,1945.953508,20.32,11.00956575,3.248378758
3/29/2004,2004,181,0,688.1892011,,1.879548387,1.964409991,1942.10955,17.76555249,9.709828868,2.722971278
3/30/2004,2004,182,0,688.1892011,,1.856032258,1.843215559,1938.410302,0,1.540573942,0.419524357
3/31/2004,2004,183,0,688.1892011,,1.797677419,1.940480708,1934.672144,0,0.037301577,0.010139016
4/1/2004,2004,184,21.23555249,709.4247536,,1.696645161,0.369208247,1953.841843,0,8.076357901,17.54264341
4/2/2004,2004,185,0,709.4247536,,1.737580645,1.337113353,1950.767149,15.74152139,8.878067664,2.518768344
4/3/2004,2004,186,0,709.4247536,,1.686193548,1.552008365,1947.528947,0,3.593557074,1.135132817
4/4/2004,2004,187,0,709.4247536,,1.749774194,0.651823042,1945.12735,0,0,2.119462303
4/5/2004,2004,188,0,709.4247536,,1.778516129,1.532316767,1941.816517,0,0,0
4/6/2004,2004,189,0,709.4247536,,1.769806452,1.412345766,1938.634365,0,0,0
4/7/2004,2004,190,0,709.4247536,,1.745419355,1.942281432,1934.946664,0,0,0
4/8/2004,2004,191,0,709.4247536,,1.741935484,1.674341345,1931.530387,0,0,0
4/9/2004,2004,192,0,709.4247536,,1.725387097,2.04192045,1927.76308,0,0,0
4/10/2004,2004,193,0,709.4247536,,1.713193548,2.019234806,1924.030651,0,0,0
4/11/2004,2004,194,0,709.4247536,,1.628709677,2.178818073,1920.223124,0,0,0
4/12/2004,2004,195,0,709.4247536,,1.537258065,1.916140052,1916.769726,0,0,0
4/13/2004,2004,196,0,709.4247536,,1.479774194,1.907967975,1913.381983,0,0,0
4/14/2004,2004,197,0,709.4247536,,1.414451613,1.402235939,1910.565296,0,0,0
4/15/2004,2004,198,0,709.4247536,,1.377870968,1.290567926,1907.896857,0,0,0
4/16/2004,2004,199,0,709.4247536,,1.312548387,0.663774428,1905.920534,0,0,0
4/17/2004,2004,200,8.651521386,718.076275,,1.311677419,0.115911007,1913.144467,0,0,3.975709014
4/18/2004,2004,201,0,718.076275,,1.300354839,0.684921327,1911.159191,15.72,8.417194612,2.344754575
4/19/2004,2004,202,0,718.076275,,1.297741935,0.861903082,1908.999546,16.51,8.76198842,2.331057797
4/20/2004,2004,203,0,718.076275,,1.245483871,1.54484882,1906.209213,0,0,0
4/21/2004,2004,204,0,718.076275,,1.244612903,1.643346156,1903.321254,0,0,0
4/22/2004,2004,205,0,718.076275,,1.197580645,1.749278577,1900.374395,0,0,0
4/23/2004,2004,206,0,718.076275,,1.130516129,2.568613231,1896.675266,0,0,0
4/24/2004,2004,207,0,718.076275,,1.108741935,2.67262563,1892.893898,0,0,0
4/25/2004,2004,208,0,718.076275,,1.078258065,2.823226141,1888.992414,0,0,0
4/26/2004,2004,209,0,718.076275,,1.043419355,2.873252633,1885.075742,0,0,0
4/27/2004,2004,210,0,718.076275,,1.036451613,2.93451755,1881.104773,0,0,0
4/28/2004,2004,211,0,718.076275,,0.988548387,2.85164899,1877.264575,0,0,0
4/29/2004,2004,212,0,718.076275,,0.919741935,2.596899921,1873.747933,0,0,0
4/30/2004,2004,213,0,718.076275,,0.879677419,2.716206828,1870.152049,0,0,0
5/1/2004,2004,214,0,718.076275,,0.867483871,2.879306568,1866.405259,0,0,0
5/2/2004,2004,215,0,718.076275,,0.830903226,3.14789195,1862.426464,0,0,0
5/3/2004,2004,216,0,718.076275,,0.784741935,3.218705456,1858.423016,0,0,0
5/4/2004,2004,217,0,718.076275,,0.718548387,3.216564901,1854.487903,0,0,0
5/5/2004,2004,218,0,718.076275,,0.685451613,3.046984314,1850.755467,0,0,0
5/6/2004,2004,219,0,718.076275,,0.677612903,2.835006371,1847.242848,0,0,0
5/7/2004,2004,220,0,718.076275,,0.675,2.985456008,1843.582392,0,0,0
5/8/2004,2004,221,0,718.076275,,0.670645161,2.51953854,1840.392208,0,0,0
5/9/2004,2004,222,0,718.076275,,0.66716129,2.882559775,1836.842487,0,0,0
5/10/2004,2004,223,0,718.076275,,0.659322581,2.230674079,1833.95249,0,0,0
5/11/2004,2004,224,0,718.076275,,0.591387097,1.686583609,1831.67452,0,0,0
5/12/2004,2004,225,0,718.076275,,0.552193548,2.594442877,1828.527883,0,0,0
5/13/2004,2004,226,0,718.076275,,0.561774194,2.922651083,1825.043458,0,0,0
5/14/2004,2004,227,0,718.076275,,0.54,2.994016434,1821.509441,0,0,0
5/15/2004,2004,228,0,718.076275,,0.519096774,2.401560066,1818.588785,0,0,0
5/16/2004,2004,229,0,718.076275,,0.515612903,2.821924971,1815.251247,0,0,0
5/17/2004,2004,230,0,718.076275,,0.511258065,2.672376316,1812.067612,0,0,0
5/18/2004,2004,231,0,718.076275,,0.509516129,1.948083381,1809.610013,0,0,0
5/19/2004,2004,232,0,718.076275,,0.482516129,2.622595501,1806.504901,0,0,0
5/20/2004,2004,233,0,718.076275,,0.472935484,2.022863838,1804.009102,0,0,0
5/21/2004,2004,234,0,718.076275,,0.473806452,1.846306125,1801.688989,0,0,0
5/22/2004,2004,235,0,718.076275,,0.472935484,2.224028045,1798.992026,0,0,0
5/23/2004,2004,236,0,718.076275,,0.464225806,2.879115888,1795.648684,0,0,0
5/24/2004,2004,237,0,718.076275,,0.461612903,2.349636122,1792.837435,0,0,0
5/25/2004,2004,238,0,718.076275,,0.461612903,2.61775266,1789.758069,0,0,0
5/26/2004,2004,239,0,718.076275,,0.441580645,2.700017851,1786.616471,0,0,0
5/27/2004,2004,240,0,718.076275,,0.400645161,2.827511164,1783.388315,0,0,0
5/28/2004,2004,241,13.37053305,731.4468081,,0.419806452,0.67322598,1795.665815,13.37053305,13.37053305,13.37053305
5/29/2004,2004,242,0,731.4468081,,0.391935484,1.102347885,1794.171532,0,0,0
5/30/2004,2004,243,0,731.4468081,,0.387580645,3.074959513,1790.708992,0,0,0
5/31/2004,2004,244,0,731.4468081,,0.377129032,3.031151068,1787.300712,0,0,0
6/1/2004,2004,245,0,731.4468081,,0.364935484,3.289055781,1783.64672,0,0,0
6/2/2004,2004,246,0,731.4468081,,0.355354839,3.341382171,1779.949983,0,0,0
6/3/2004,2004,247,0,731.4468081,,0.345774194,3.338668424,1776.265541,0,0,0
6/4/2004,2004,248,0,731.4468081,,0.337064516,3.397750518,1772.530726,0,0,0
6/5/2004,2004,249,0,731.4468081,,0.33183871,3.371512897,1768.827374,0,0,0
6/6/2004,2004,250,0,731.4468081,,0.326612903,3.37729443,1765.123467,0,0,0
6/7/2004,2004,251,0,731.4468081,,0.321387097,3.266606442,1761.535473,0,0,0
6/8/2004,2004,252,0,731.4468081,,0.320516129,2.845367635,1758.36959,0,0,0
6/9/2004,2004,253,0,731.4468081,,0.339677419,0.832499595,1757.197412,0,0,0
6/10/2004,2004,254,0,731.4468081,,0.344903226,2.555245088,1754.297264,0,0,0
6/11/2004,2004,255,0,731.4468081,,0.334451613,3.161534961,1750.801278,0,0,0
6/12/2004,2004,256,0,731.4468081,,0.321387097,3.249628487,1747.230262,0,0,0
6/13/2004,2004,257,0,731.4468081,,0.313548387,3.388620285,1743.528093,0,0,0
6/14/2004,2004,258,0,731.4468081,,0.315290323,2.148750084,1741.064053,0,0,0
6/15/2004,2004,259,0,731.4468081,,0.309193548,2.764805955,1737.990053,0,0,0
6/16/2004,2004,260,0,731.4468081,,0.297,3.45378431,1734.239269,0,0,0
6/17/2004,2004,261,0,731.4468081,,0.286548387,3.388776472,1730.563944,0,0,0
6/18/2004,2004,262,0,731.4468081,,0.287419355,3.116065998,1727.160459,0,0,0
6/19/2004,2004,263,0,731.4468081,,0.283064516,3.309544925,1723.567849,0,0,0
6/20/2004,2004,264,0,731.4468081,,0.272612903,3.389723859,1719.905513,0,0,0
6/21/2004,2004,265,0,731.4468081,,0.266516129,3.456699845,1716.182297,0,0,0
6/22/2004,2004,266,0,731.4468081,,0.255193548,3.426420644,1712.500683,0,0,0
6/23/2004,2004,267,0,731.4468081,,0.247354839,3.398551677,1708.854776,0,0,0
6/24/2004,2004,268,0,731.4468081,,0.241258065,3.023137325,1705.590381,0,0,0
6/25/2004,2004,269,0,731.4468081,,0.234290323,3.339018215,1702.017072,0,0,0
6/26/2004,2004,270,0,731.4468081,,0.227322581,3.355339892,1698.43441,0,0,0
6/27/2004,2004,271,0,731.4468081,,0.222096774,3.335701114,1694.876612,0,0,0
6/28/2004,2004,272,0,731.4468081,,0.212516129,3.335216911,1691.328879,0,0,0
6/29/2004,2004,273,0,731.4468081,,0.207290323,3.272941467,1687.848647,0,0,0
6/30/2004,2004,274,0,731.4468081,,0.215129032,2.933538478,1684.699979,0,0,0
7/1/2004,2004,275,0,731.4468081,,0.216,2.752414164,1681.731565,0,0,0
7/2/2004,2004,276,3.146007777,734.5928159,,0.211645161,1.967994955,1682.697933,3.146007777,3.146007777,3.146007777
7/3/2004,2004,277,0,734.5928159,,0.206419355,2.180608774,1680.310905,0,0,0
7/4/2004,2004,278,0,734.5928159,,0.192483871,3.428014388,1676.690407,0,0,0
7/5/2004,2004,279,0,734.5928159,,0.177677419,3.438642936,1673.074086,0,0,0
7/6/2004,2004,280,0,734.5928159,,0.16983871,3.463754648,1669.440493,0,0,0
7/7/2004,2004,281,0,734.5928159,,0.164612903,3.434336298,1665.841544,0,0,0
7/8/2004,2004,282,0,734.5928159,,0.161129032,3.343148811,1662.337266,0,0,0
7/9/2004,2004,283,0,734.5928159,,0.158516129,3.215282218,1658.963467,0,0,0
7/10/2004,2004,284,0,734.5928159,,0.151548387,3.391227634,1655.420691,0,0,0
7/11/2004,2004,285,0,734.5928159,,0.144580645,3.481900441,1651.79421,0,0,0
7/12/2004,2004,286,0,734.5928159,,0.137612903,3.538127715,1648.11847,0,0,0
7/13/2004,2004,287,0,734.5928159,,0.133258065,3.449762003,1644.53545,0,0,0
