Date,STREAMFLOW_(CFS)
2/5/40,3740
2/6/40,13300
2/7/40,10800
2/8/40,7120
2/9/40,5120
2/10/40,4620
2/11/40,4460
2/12/40,3790
2/13/40,5090
2/14/40,4640
2/15/40,3930
2/16/40,4040
2/17/40,7570
2/18/40,5280
2/19/40,3940
2/20/40,3150
2/21/40,2660
2/22/40,2300
2/23/40,2020
2/24/40,1880
2/25/40,2950
2/26/40,4350
2/27/40,4450
2/28/40,7270
2/29/40,7250
3/1/40,5940
3/2/40,6040
3/3/40,4690
3/4/40,3720
3/5/40,3000
3/6/40,2530
3/7/40,2500
3/8/40,2730
3/9/40,2490
3/10/40,2280
3/11/40,2060
3/12/40,1830
3/13/40,1670
3/14/40,1520
3/15/40,1480
3/16/40,1430
3/17/40,1290
3/18/40,1200
3/19/40,1130
3/20/40,1070
3/21/40,1000
3/22/40,948
3/23/40,904
3/24/40,876
3/25/40,860
3/26/40,3990
3/27/40,7850
3/28/40,6650
3/29/40,5060
3/30/40,4650
3/31/40,3670
4/1/40,2940
4/2/40,2460
4/3/40,2160
4/4/40,1900
4/5/40,1680
4/6/40,1520
4/7/40,1480
4/8/40,1400
4/9/40,1570
4/10/40,1420
4/11/40,1290
4/12/40,1190
4/13/40,1090
4/14/40,1010
4/15/40,948
4/16/40,893
4/17/40,843
4/18/40,810
4/19/40,766
4/20/40,730
4/21/40,695
4/22/40,670
4/23/40,680
4/24/40,650
4/25/40,625
4/26/40,600
4/27/40,578
4/28/40,630
4/29/40,600
4/30/40,805
5/1/40,1160
5/2/40,942
5/3/40,838
5/4/40,1190
5/5/40,3070
5/6/40,2610
5/7/40,1900
5/8/40,1500
5/9/40,1280
5/10/40,1120
5/11/40,1010
5/12/40,932
5/13/40,854
5/14/40,810
5/15/40,761
5/16/40,715
5/17/40,670
5/18/40,635
5/19/40,605
5/20/40,625
5/21/40,550
5/22/40,524
5/23/40,501
5/24/40,475
5/25/40,466
5/26/40,449
5/27/40,424
5/28/40,408
5/29/40,396
5/30/40,396
5/31/40,432
6/1/40,392
6/2/40,376
6/3/40,368
6/4/40,345
6/5/40,334
6/6/40,315
6/7/40,312
6/8/40,304
6/9/40,287
6/10/40,284
6/11/40,270
6/12/40,263
6/13/40,263
6/14/40,253
6/15/40,247
6/16/40,240
6/17/40,234
6/18/40,231
6/19/40,228
6/20/40,222
6/21/40,213
6/22/40,207
6/23/40,204
6/24/40,196
6/25/40,185
6/26/40,182
6/27/40,177
6/28/40,172
6/29/40,169
6/30/40,161
7/1/40,156
7/2/40,151
7/3/40,151
7/4/40,146
7/5/40,144
7/6/40,144
7/7/40,144
7/8/40,142
7/9/40,139
7/10/40,134
7/11/40,130
7/12/40,128
7/13/40,130
7/14/40,128
7/15/40,121
7/16/40,119
7/17/40,123
7/18/40,123
7/19/40,119
7/20/40,117
7/21/40,117
7/22/40,117
7/23/40,112
7/24/40,110
7/25/40,108
7/26/40,123
7/27/40,159
7/28/40,156
7/29/40,137
7/30/40,134
7/31/40,125
8/1/40,114
8/2/40,108
8/3/40,104
8/4/40,100
8/5/40,94
8/6/40,92
8/7/40,90
8/8/40,90
8/9/40,90
8/10/40,88
8/11/40,88
8/12/40,87
8/13/40,87
8/14/40,85
8/15/40,83
8/16/40,82
8/17/40,78
8/18/40,73
8/19/40,72
8/20/40,70
8/21/40,70
8/22/40,70
8/23/40,68
8/24/40,68
8/25/40,68
8/26/40,68
8/27/40,67
8/28/40,70
8/29/40,70
8/30/40,68
8/31/40,66
9/1/40,64
9/2/40,66
9/3/40,67
9/4/40,70
9/5/40,72
9/6/40,76
9/7/40,72
9/8/40,68
9/9/40,73
9/10/40,80
9/11/40,85
9/12/40,80
9/13/40,75
9/14/40,85
9/15/40,94
9/16/40,87
9/17/40,75
9/18/40,94
9/19/40,112
9/20/40,94
9/21/40,82
9/22/40,73
9/23/40,70
9/24/40,68
9/25/40,68
9/26/40,72
9/27/40,132
9/28/40,253
9/29/40,182
9/30/40,125
10/1/40,94
10/2/40,94
10/3/40,106
10/4/40,110
10/5/40,98
10/6/40,88
10/7/40,85
10/8/40,82
10/9/40,80
10/10/40,80
10/11/40,80
10/12/40,78
10/13/40,78
10/14/40,78
10/15/40,76
10/16/40,75
10/17/40,87
10/18/40,96
10/19/40,87
10/20/40,90
10/21/40,159
10/22/40,169
10/23/40,161
10/24/40,1060
10/25/40,650
10/26/40,308
10/27/40,210
10/28/40,182
10/29/40,234
10/30/40,528
10/31/40,832
11/1/40,1140
11/2/40,761
11/3/40,514
11/4/40,380
11/5/40,416
11/6/40,542
11/7/40,1310
11/8/40,2220
11/9/40,2120
11/10/40,1360
11/11/40,1590
11/12/40,1600
11/13/40,1140
11/14/40,860
11/15/40,700
11/16/40,596
11/17/40,546
11/18/40,510
11/19/40,445
11/20/40,466
11/21/40,610
11/22/40,568
11/23/40,510
11/24/40,655
11/25/40,959
11/26/40,838
11/27/40,849
11/28/40,1040
11/29/40,3210
11/30/40,2360
12/1/40,1630
12/2/40,1260
12/3/40,1180
12/4/40,1130
12/5/40,1250
12/6/40,1390
12/7/40,1210
12/8/40,1060
12/9/40,932
12/10/40,827
12/11/40,745
12/12/40,695
12/13/40,645
12/14/40,600
12/15/40,564
12/16/40,546
12/17/40,546
12/18/40,970
12/19/40,1350
12/20/40,4580
12/21/40,6480
12/22/40,3710
12/23/40,2860
12/24/40,2640
12/25/40,2950
12/26/40,3820
12/27/40,4570
12/28/40,3620
12/29/40,2790
12/30/40,2410
12/31/40,2230
1/1/41,1940
1/2/41,1710
1/3/41,1550
1/4/41,1480
1/5/41,1960
1/6/41,2480
1/7/41,2300
1/8/41,2060
1/9/41,1800
1/10/41,1580
1/11/41,1430
1/12/41,1310
1/13/41,1280
1/14/41,1290
1/15/41,1890
1/16/41,2690
1/17/41,5870
1/18/41,9840
1/19/41,8440
1/20/41,4980
1/21/41,3590
1/22/41,2770
1/23/41,2300
1/24/41,2860
1/25/41,5530
1/26/41,6100
1/27/41,4070
1/28/41,3150
1/29/41,2580
1/30/41,2220
1/31/41,2060
2/1/41,1950
2/2/41,1990
2/3/41,1810
2/4/41,1640
2/5/41,1500
2/6/41,1380
2/7/41,1260
2/8/41,1180
2/9/41,1180
2/10/41,1170
2/11/41,1140
2/12/41,1050
2/13/41,976
2/14/41,926
2/15/41,882
2/16/41,832
2/17/41,794
2/18/41,756
2/19/41,720
2/20/41,700
2/21/41,675
2/22/41,650
2/23/41,645
2/24/41,675
2/25/41,640
2/26/41,600
2/27/41,615
2/28/41,645
3/1/41,783
3/2/41,964
3/3/41,888
3/4/41,788
3/5/41,745
3/6/41,685
3/7/41,650
3/8/41,620
3/9/41,582
3/10/41,560
3/11/41,546
3/12/41,519
3/13/41,506
3/14/41,479
3/15/41,466
3/16/41,449
3/17/41,449
3/18/41,591
3/19/41,810
3/20/41,750
3/21/41,660
3/22/41,640
3/23/41,600
3/24/41,560
3/25/41,537
3/26/41,514
3/27/41,492
3/28/41,475
3/29/41,475
3/30/41,458
3/31/41,470
4/1/41,445
4/2/41,445
4/3/41,488
4/4/41,596
4/5/41,1850
4/6/41,1920
4/7/41,1400
4/8/41,1130
4/9/41,976
4/10/41,866
4/11/41,778
4/12/41,710
4/13/41,660
4/14/41,630
4/15/41,620
4/16/41,645
4/17/41,670
4/18/41,610
4/19/41,573
4/20/41,542
4/21/41,510
4/22/41,492
4/23/41,466
4/24/41,449
4/25/41,428
4/26/41,416
4/27/41,400
4/28/41,384
4/29/41,380
4/30/41,380
5/1/41,372
5/2/41,384
5/3/41,488
5/4/41,872
5/5/41,4190
5/6/41,2530
5/7/41,1720
5/8/41,1370
5/9/41,1150
5/10/41,988
5/11/41,888
5/12/41,810
5/13/41,745
5/14/41,705
5/15/41,660
5/16/41,635
5/17/41,888
5/18/41,1130
5/19/41,976
5/20/41,849
5/21/41,750
5/22/41,690
5/23/41,635
5/24/41,591
5/25/41,555
5/26/41,524
5/27/41,501
5/28/41,510
5/29/41,492
5/30/41,470
5/31/41,453
6/1/41,428
6/2/41,408
6/3/41,388
6/4/41,376
6/5/41,368
6/6/41,388
6/7/41,376
6/8/41,349
6/9/41,338
6/10/41,312
6/11/41,294
6/12/41,284
6/13/41,276
6/14/41,273
6/15/41,266
6/16/41,260
6/17/41,266
6/18/41,284
6/19/41,384
6/20/41,353
6/21/41,287
6/22/41,273
6/23/41,270
6/24/41,270
6/25/41,294
6/26/41,276
6/27/41,250
6/28/41,237
6/29/41,231
6/30/41,222
7/1/41,210
7/2/41,207
7/3/41,207
7/4/41,202
7/5/41,193
7/6/41,188
7/7/41,185
7/8/41,179
7/9/41,174
7/10/41,169
7/11/41,164
7/12/41,159
7/13/41,156
7/14/41,154
7/15/41,149
7/16/41,144
7/17/41,142
7/18/41,139
7/19/41,134
7/20/41,134
7/21/41,132
7/22/41,132
7/23/41,130
7/24/41,130
7/25/41,130
7/26/41,128
7/27/41,125
7/28/41,125
7/29/41,123
7/30/41,121
7/31/41,114
8/1/41,110
8/2/41,110
8/3/41,117
8/4/41,121
8/5/41,119
8/6/41,112
8/7/41,108
8/8/41,104
8/9/41,102
8/10/41,100
8/11/41,102
8/12/41,104
8/13/41,104
8/14/41,100
8/15/41,96
8/16/41,92
8/17/41,90
8/18/41,88
8/19/41,90
8/20/41,87
8/21/41,88
8/22/41,90
8/23/41,92
8/24/41,98
8/25/41,123
8/26/41,156
8/27/41,185
8/28/41,263
8/29/41,172
8/30/41,134
8/31/41,125
9/1/41,198
9/2/41,976
9/3/41,615
9/4/41,341
9/5/41,256
9/6/41,210
9/7/41,185
9/8/41,166
9/9/41,156
9/10/41,164
9/11/41,253
9/12/41,1770
9/13/41,1190
9/14/41,675
9/15/41,488
9/16/41,388
9/17/41,323
9/18/41,290
9/19/41,528
9/20/41,898
9/21/41,670
9/22/41,501
9/23/41,408
9/24/41,345
9/25/41,308
9/26/41,280
9/27/41,260
9/28/41,247
9/29/41,237
9/30/41,225
10/1/41,233
10/2/41,233
10/3/41,221
10/4/41,236
10/5/41,236
10/6/41,221
10/7/41,248
10/8/41,306
10/9/41,275
10/10/41,289
10/11/41,322
10/12/41,448
10/13/41,430
10/14/41,362
10/15/41,314
10/16/41,286
10/17/41,272
10/18/41,269
10/19/41,292
10/20/41,272
10/21/41,257
10/22/41,248
10/23/41,239
10/24/41,230
10/25/41,224
10/26/41,227
10/27/41,278
10/28/41,272
10/29/41,254
10/30/41,239
10/31/41,251
11/1/41,303
11/2/41,366
11/3/41,476
11/4/41,630
11/5/41,584
11/6/41,507
11/7/41,453
11/8/41,408
11/9/41,362
11/10/41,338
11/11/41,338
11/12/41,326
11/13/41,1310
11/14/41,3630
11/15/41,6360
11/16/41,5860
11/17/41,4220
11/18/41,2760
11/19/41,2040
11/20/41,1610
11/21/41,1340
11/22/41,1160
11/23/41,1030
11/24/41,925
11/25/41,842
11/26/41,775
11/27/41,730
11/28/41,755
11/29/41,755
11/30/41,930
12/1/41,898
12/2/41,7850
12/3/41,9380
12/4/41,5730
12/5/41,4850
12/6/41,3810
12/7/41,3060
12/8/41,2520
12/9/41,2160
12/10/41,1850
12/11/41,1630
12/12/41,1440
12/13/41,1380
12/14/41,1450
12/15/41,1830
12/16/41,6710
12/17/41,5610
12/18/41,8310
12/19/41,11400
12/20/41,9970
12/21/41,6490
12/22/41,4900
12/23/41,6130
12/24/41,5070
12/25/41,4070
12/26/41,3260
12/27/41,2720
12/28/41,2340
12/29/41,2080
12/30/41,1850
12/31/41,1650
1/1/42,1470
1/2/42,1350
1/3/42,1290
1/4/42,1180
1/5/42,1080
1/6/42,1100
1/7/42,2010
1/8/42,4830
1/9/42,4020
1/10/42,3040
1/11/42,2460
1/12/42,2100
1/13/42,1840
1/14/42,1650
1/15/42,1500
1/16/42,1400
1/17/42,1290
1/18/42,1190
1/19/42,1110
1/20/42,1040
1/21/42,980
1/22/42,936
1/23/42,936
1/24/42,1170
1/25/42,2320
1/26/42,2920
1/27/42,4130
1/28/42,3830
1/29/42,3070
1/30/42,2530
1/31/42,2340
2/1/42,3530
2/2/42,3360
2/3/42,4110
2/4/42,11400
2/5/42,10000
2/6/42,7510
2/7/42,5490
2/8/42,4330
2/9/42,4040
2/10/42,3730
2/11/42,3140
2/12/42,2680
2/13/42,2340
2/14/42,2070
2/15/42,1850
2/16/42,1680
2/17/42,1530
2/18/42,1400
2/19/42,1290
2/20/42,1230
2/21/42,1200
2/22/42,1090
2/23/42,1100
2/24/42,1230
2/25/42,1140
2/26/42,1070
2/27/42,1130
2/28/42,1090
3/1/42,1060
3/2/42,1060
3/3/42,1020
3/4/42,958
3/5/42,947
3/6/42,914
3/7/42,864
3/8/42,832
3/9/42,969
3/10/42,1290
3/11/42,1210
3/12/42,1120
3/13/42,1220
3/14/42,1200
3/15/42,1140
3/16/42,1130
3/17/42,1140
3/18/42,1200
3/19/42,1120
3/20/42,1050
3/21/42,991
3/22/42,1000
3/23/42,969
3/24/42,936
3/25/42,974
3/26/42,986
3/27/42,947
3/28/42,903
3/29/42,854
3/30/42,810
3/31/42,775
4/1/42,832
4/2/42,755
4/3/42,770
4/4/42,755
4/5/42,725
4/6/42,695
4/7/42,665
4/8/42,650
4/9/42,625
4/10/42,606
4/11/42,584
4/12/42,561
4/13/42,548
4/14/42,556
4/15/42,570
4/16/42,538
4/17/42,561
4/18/42,579
4/19/42,534
4/20/42,516
4/21/42,498
4/22/42,507
4/23/42,534
4/24/42,543
4/25/42,630
4/26/42,610
4/27/42,705
4/28/42,859
4/29/42,775
4/30/42,780
5/1/42,908
5/2/42,942
5/3/42,908
5/4/42,914
5/5/42,826
5/6/42,765
5/7/42,710
5/8/42,660
5/9/42,670
5/10/42,760
5/11/42,795
5/12/42,740
5/13/42,700
5/14/42,660
5/15/42,645
5/16/42,615
5/17/42,588
5/18/42,561
5/19/42,556
5/20/42,525
5/21/42,502
5/22/42,525
5/23/42,512
5/24/42,498
5/25/42,660
5/26/42,660
5/27/42,760
5/28/42,980
5/29/42,914
5/30/42,810
5/31/42,735
6/1/42,675
6/2/42,625
6/3/42,588
6/4/42,548
6/5/42,520
6/6/42,520
6/7/42,525
6/8/42,498
6/9/42,543
6/10/42,561
6/11/42,530
6/12/42,489
6/13/42,453
6/14/42,426
6/15/42,440
6/16/42,448
6/17/42,471
6/18/42,440
6/19/42,417
6/20/42,386
6/21/42,366
6/22/42,350
6/23/42,334
6/24/42,326
6/25/42,430
6/26/42,552
6/27/42,489
6/28/42,417
6/29/42,374
6/30/42,346
7/1/42,318
7/2/42,296
7/3/42,278
7/4/42,266
7/5/42,263
7/6/42,257
7/7/42,251
7/8/42,245
7/9/42,239
7/10/42,242
7/11/42,289
7/12/42,286
7/13/42,245
7/14/42,254
7/15/42,292
7/16/42,326
7/17/42,386
7/18/42,303
7/19/42,263
7/20/42,242
7/21/42,230
7/22/42,221
7/23/42,218
7/24/42,206
7/25/42,200
7/26/42,195
7/27/42,189
7/28/42,186
7/29/42,180
7/30/42,186
7/31/42,183
8/1/42,178
8/2/42,175
8/3/42,172
8/4/42,175
8/5/42,172
8/6/42,161
8/7/42,161
8/8/42,155
8/9/42,153
8/10/42,155
8/11/42,155
8/12/42,150
8/13/42,142
8/14/42,137
8/15/42,132
8/16/42,132
8/17/42,130
8/18/42,130
8/19/42,120
8/20/42,122
8/21/42,120
8/22/42,122
8/23/42,118
8/24/42,115
8/25/42,113
8/26/42,113
8/27/42,115
8/28/42,118
8/29/42,120
8/30/42,118
8/31/42,113
9/1/42,110
9/2/42,106
9/3/42,102
9/4/42,108
9/5/42,106
9/6/42,110
9/7/42,108
9/8/42,106
9/9/42,110
9/10/42,108
9/11/42,106
9/12/42,104
9/13/42,100
9/14/42,100
9/15/42,96
9/16/42,94
9/17/42,94
9/18/42,92
9/19/42,88
9/20/42,86
9/21/42,85
9/22/42,86
9/23/42,85
9/24/42,83
9/25/42,83
9/26/42,85
9/27/42,88
9/28/42,92
9/29/42,94
9/30/42,90
10/1/42,93
10/2/42,95
10/3/42,93
10/4/42,91
10/5/42,89
10/6/42,86
10/7/42,84
10/8/42,83
10/9/42,83
10/10/42,83
10/11/42,95
10/12/42,128
10/13/42,119
10/14/42,111
10/15/42,128
10/16/42,119
10/17/42,103
10/18/42,97
10/19/42,91
10/20/42,89
10/21/42,89
10/22/42,89
10/23/42,89
10/24/42,87
10/25/42,87
10/26/42,91
10/27/42,176
10/28/42,274
10/29/42,188
10/30/42,141
10/31/42,203
11/1/42,934
11/2/42,1500
11/3/42,1800
11/4/42,946
11/5/42,715
11/6/42,552
11/7/42,506
11/8/42,775
11/9/42,775
11/10/42,605
11/11/42,488
11/12/42,406
11/13/42,370
11/14/42,2000
11/15/42,6690
11/16/42,4040
11/17/42,5410
11/18/42,4270
11/19/42,2980
11/20/42,2180
11/21/42,1760
11/22/42,1810
11/23/42,9500
11/24/42,10100
11/25/42,4880
11/26/42,5300
11/27/42,12500
11/28/42,6140
11/29/42,9070
11/30/42,8340
12/1/42,6530
12/2/42,6250
12/3/42,4590
12/4/42,3630
12/5/42,3450
12/6/42,4280
12/7/42,6480
12/8/42,10200
12/9/42,7970
12/10/42,5540
12/11/42,4230
12/12/42,3530
12/13/42,3380
12/14/42,2910
12/15/42,2480
12/16/42,2190
12/17/42,1940
12/18/42,1770
12/19/42,1600
12/20/42,1660
12/21/42,1810
12/22/42,2720
12/23/42,2860
12/24/42,2890
12/25/42,3590
12/26/42,3060
12/27/42,10400
12/28/42,10200
12/29/42,8450
12/30/42,14900
12/31/42,17600
1/1/43,19400
1/2/43,11600
1/3/43,7770
1/4/43,5580
1/5/43,5720
1/6/43,5020
1/7/43,3930
1/8/43,3200
1/9/43,2700
1/10/43,2330
1/11/43,2070
1/12/43,1840
1/13/43,1660
1/14/43,1520
1/15/43,1450
1/16/43,1370
1/17/43,1270
1/18/43,1200
1/19/43,1130
1/20/43,3100
1/21/43,3200
1/22/43,2700
1/23/43,1900
1/24/43,1700
1/25/43,1680
1/26/43,2670
1/27/43,4140
1/28/43,5770
1/29/43,5380
1/30/43,4170
1/31/43,3270
2/1/43,2750
2/2/43,4020
2/3/43,4470
2/4/43,5400
2/5/43,5010
2/6/43,9950
2/7/43,15500
2/8/43,8250
2/9/43,5510
2/10/43,4350
2/11/43,5090
2/12/43,4490
2/13/43,3580
2/14/43,2970
2/15/43,2540
2/16/43,2240
2/17/43,1990
2/18/43,1790
2/19/43,1620
2/20/43,1490
2/21/43,1370
2/22/43,1280
2/23/43,1190
2/24/43,1110
2/25/43,1030
2/26/43,978
2/27/43,929
2/28/43,885
3/1/43,841
3/2/43,805
3/3/43,775
3/4/43,745
3/5/43,715
3/6/43,695
3/7/43,710
3/8/43,805
3/9/43,690
3/10/43,640
3/11/43,610
3/12/43,595
3/13/43,690
3/14/43,795
3/15/43,825
3/16/43,775
3/17/43,735
3/18/43,695
3/19/43,670
3/20/43,625
3/21/43,600
3/22/43,575
3/23/43,562
3/24/43,557
3/25/43,630
3/26/43,1090
3/27/43,2410
3/28/43,4780
3/29/43,7140
3/30/43,6150
3/31/43,16100
4/1/43,14300
4/2/43,7830
4/3/43,5160
4/4/43,3850
4/5/43,3100
4/6/43,2530
4/7/43,2200
4/8/43,2050
4/9/43,1900
4/10/43,1760
4/11/43,1610
4/12/43,1460
4/13/43,1340
4/14/43,1240
4/15/43,1160
4/16/43,1090
4/17/43,1020
4/18/43,973
4/19/43,1070
4/20/43,1200
4/21/43,1620
4/22/43,1450
4/23/43,1420
4/24/43,1340
4/25/43,1250
4/26/43,1140
4/27/43,1150
4/28/43,1100
4/29/43,1080
4/30/43,1010
5/1/43,956
5/2/43,896
5/3/43,846
5/4/43,805
5/5/43,810
5/6/43,846
5/7/43,775
5/8/43,730
5/9/43,695
5/10/43,680
5/11/43,675
5/12/43,645
5/13/43,630
5/14/43,610
5/15/43,610
5/16/43,585
5/17/43,557
5/18/43,539
5/19/43,520
5/20/43,506
5/21/43,497
5/22/43,493
5/23/43,484
5/24/43,462
5/25/43,444
5/26/43,427
5/27/43,415
5/28/43,406
5/29/43,394
5/30/43,484
5/31/43,635
6/1/43,571
6/2/43,780
6/3/43,868
6/4/43,735
6/5/43,635
6/6/43,557
6/7/43,511
6/8/43,475
6/9/43,444
6/10/43,410
6/11/43,394
6/12/43,386
6/13/43,394
6/14/43,386
6/15/43,366
6/16/43,343
6/17/43,335
6/18/43,335
6/19/43,324
6/20/43,328
6/21/43,332
6/22/43,390
6/23/43,423
6/24/43,374
6/25/43,347
6/26/43,324
6/27/43,299
6/28/43,288
6/29/43,274
6/30/43,268
7/1/43,261
7/2/43,254
7/3/43,257
7/4/43,261
7/5/43,241
7/6/43,232
7/7/43,225
7/8/43,222
7/9/43,254
7/10/43,241
7/11/43,219
7/12/43,210
7/13/43,206
7/14/43,197
7/15/43,191
7/16/43,188
7/17/43,185
7/18/43,179
7/19/43,170
7/20/43,167
7/21/43,164
7/22/43,161
7/23/43,161
7/24/43,155
7/25/43,150
7/26/43,153
7/27/43,153
7/28/43,153
7/29/43,150
7/30/43,147
7/31/43,141
8/1/43,136
8/2/43,136
8/3/43,141
8/4/43,147
8/5/43,182
8/6/43,210
8/7/43,173
8/8/43,159
8/9/43,147
8/10/43,140
8/11/43,132
8/12/43,129
8/13/43,127
8/14/43,123
8/15/43,121
8/16/43,120
8/17/43,116
8/18/43,114
8/19/43,114
8/20/43,115
8/21/43,130
8/22/43,200
8/23/43,173
8/24/43,141
8/25/43,128
8/26/43,123
8/27/43,119
8/28/43,116
8/29/43,173
8/30/43,203
8/31/43,153
9/1/43,131
9/2/43,119
9/3/43,114
9/4/43,110
9/5/43,108
9/6/43,107
9/7/43,105
9/8/43,103
9/9/43,102
9/10/43,101
9/11/43,100
9/12/43,103
9/13/43,106
9/14/43,100
9/15/43,96
9/16/43,94
9/17/43,93
9/18/43,95
9/19/43,93
9/20/43,89
9/21/43,86
9/22/43,84
9/23/43,81
9/24/43,81
9/25/43,79
9/26/43,83
9/27/43,99
9/28/43,103
9/29/43,97
9/30/43,91
10/1/43,84
10/2/43,84
10/3/43,85
10/4/43,89
10/5/43,91
10/6/43,93
10/7/43,89
10/8/43,84
10/9/43,84
10/10/43,95
10/11/43,257
10/12/43,238
10/13/43,161
10/14/43,130
10/15/43,120
10/16/43,116
10/17/43,191
10/18/43,238
10/19/43,194
10/20/43,324
10/21/43,1010
10/22/43,1550
10/23/43,1090
10/24/43,6620
10/25/43,3660
10/26/43,1720
10/27/43,1150
10/28/43,885
10/29/43,790
10/30/43,820
10/31/43,730
11/1/43,655
11/2/43,655
11/3/43,1010
11/4/43,3990
11/5/43,3260
11/6/43,2100
11/7/43,1610
11/8/43,1290
11/9/43,1080
11/10/43,946
11/11/43,846
11/12/43,770
11/13/43,695
11/14/43,670
11/15/43,615
11/16/43,575
11/17/43,562
11/18/43,557
11/19/43,575
11/20/43,675
11/21/43,635
11/22/43,566
11/23/43,534
11/24/43,506
11/25/43,484
11/26/43,466
11/27/43,453
11/28/43,440
11/29/43,431
11/30/43,1410
12/1/43,2280
12/2/43,3020
12/3/43,5580
12/4/43,6920
12/5/43,5190
12/6/43,3250
12/7/43,2380
12/8/43,1950
12/9/43,1640
12/10/43,1430
12/11/43,1270
12/12/43,1150
12/13/43,1030
12/14/43,951
12/15/43,890
12/16/43,830
12/17/43,785
12/18/43,745
12/19/43,715
12/20/43,680
12/21/43,650
12/22/43,620
12/23/43,600
12/24/43,700
12/25/43,1320
12/26/43,1400
12/27/43,1140
12/28/43,978
12/29/43,868
12/30/43,795
12/31/43,775
1/1/44,2660
1/2/44,4860
1/3/44,3130
1/4/44,2260
1/5/44,1890
1/6/44,1600
1/7/44,1410
1/8/44,1280
1/9/44,1180
1/10/44,1100
1/11/44,1030
1/12/44,1020
1/13/44,968
1/14/44,940
1/15/44,1160
1/16/44,1240
1/17/44,1710
1/18/44,1670
1/19/44,1440
1/20/44,1280
1/21/44,1160
1/22/44,1070
1/23/44,1590
1/24/44,2200
1/25/44,2230
1/26/44,1930
1/27/44,1680
1/28/44,1540
1/29/44,1380
1/30/44,1280
1/31/44,1180
2/1/44,1180
2/2/44,1310
2/3/44,1410
2/4/44,1500
2/5/44,1910
2/6/44,2610
2/7/44,3200
2/8/44,2660
2/9/44,2360
2/10/44,2120
2/11/44,1920
2/12/44,1740
2/13/44,1610
2/14/44,1590
2/15/44,1610
2/16/44,1570
2/17/44,1640
2/18/44,1680
2/19/44,1720
2/20/44,1680
2/21/44,1630
2/22/44,1540
2/23/44,1430
2/24/44,1360
2/25/44,1300
2/26/44,1290
2/27/44,1300
2/28/44,1290
2/29/44,1260
3/1/44,1220
3/2/44,1180
3/3/44,1400
3/4/44,2110
3/5/44,2310
3/6/44,2190
3/7/44,2000
3/8/44,1870
3/9/44,1870
3/10/44,2050
3/11/44,2050
3/12/44,1960
3/13/44,1840
3/14/44,1740
3/15/44,1670
3/16/44,1610
3/17/44,1550
3/18/44,1480
3/19/44,1420
3/20/44,1370
3/21/44,1330
3/22/44,1280
3/23/44,1250
3/24/44,1280
3/25/44,1310
3/26/44,1320
3/27/44,1290
3/28/44,1200
3/29/44,1100
3/30/44,1040
3/31/44,980
4/1/44,920
4/2/44,880
4/3/44,840
4/4/44,800
4/5/44,760
4/6/44,740
4/7/44,760
4/8/44,780
4/9/44,800
4/10/44,780
4/11/44,1110
4/12/44,1400
4/13/44,1900
4/14/44,2400
4/15/44,2900
4/16/44,2600
4/17/44,2280
4/18/44,2180
4/19/44,2350
4/20/44,2560
4/21/44,2310
4/22/44,1980
4/23/44,1780
4/24/44,1690
4/25/44,1550
